,CABBI,RS_X,NOMVOI_X,NUMVOI_X,TYPEVOI_X,BISTER_X,CPLADR_X,CLT_X
0,7303829372.0,Demouy (SA),Bienville,29,r,,,CLAIROIX
1,7303829371.0,A.S.D.A.P.A.,Paris,33,r,,,COMPIÈGNE
2,7353352524.0,Matra Electronique,Ferdinand Meunier,4,r,,,LACROIX SAINT OUEN
3,7353352525.0,CPC-Clôtures Portails Compiègnois,Kléber Bibaud,2,r,,,THOUROTTE
4,7353352396.0,Guinard Sangav,Senlis,71,av,,,CRÉPY EN VALOIS
5,7353352397.0,Mairie,Neuve,1,r,,,BERNEUIL EN BRAY
6,7353352776.0,Orange Ui Picardie,Louis Barthou,365,r,,,MARGNY LES COMPIEGNE
7,7303829354.0,Maison De Retraite Dorchy,Parc,1,r,,,ATTICHY
8,7353352804.0,Zub (SA),Reims,22,r,,,COULOISY
9,7303829564.0,Dzo Familles,Oise,36,r,,,COMPIÈGNE
10,7303829243.0,Communauté De Communes Des Deux Vallées (CC2V),Mar Juin,9,r,,,THOUROTTE
11,7353352450.0,Sanofi-Aventis,Choisy,56,rte,,,COMPIÈGNE
12,7353352451.0,A.D.S.E.A.O,Bataillon de France,26,r,,,COMPIÈGNE
13,7353352381.0,Thomas Husein,Henri Adnot,8,av,,,COMPIÈGNE
14,7353352505.0,La Mie Câline,Napoléon 13 pl Hôtel de Ville,1,r,,,COMPIÈGNE
15,7353352506.0,La Mie Câline,Napoléon 13 pl Hôtel de Ville,1,r,,,COMPIÈGNE
16,7303829373.0,MENUISERIE PICHUTKA,Hermitage,12,r,,,AUTRÊCHES
17,7303829374.0,Cip Clôtures (SA),Pont des Rets,145,r,,,CHOISY AU BAC
18,7303829861.0,Maison Saint Jean,Montagne,7,r,,,TRACY LE MONT
19,7353352458.0,Nathalie Bochet,Domeliers,21,r,,,COMPIÈGNE
20,7353352380.0,L'Atelier de Charlotte,Hippolyte Bottier,19,r,Bis,,COMPIÈGNE
21,7353352786.0,Speedy DLCT Auto (SARL) Agent,Queue d'Oigny,2,r,Ter,,VILLERS COTTERETS
22,7353352787.0,Speedy DLCT Auto (SARL) Agent,Queue d'Oigny,2,r,Ter,,VILLERS COTTERETS
23,7303829240.0,Degauchy Lucien (Ets),Angouleme,4,r,,,COURTIEUX
24,7303829479.0,PARIS PORTES,Gaston Roussel,204,av,,,ROMAINVILLE
25,7353352778.0,Clinique du Cèdre Centre Hospitalier Chauny,Anciens Combattants AFN,94,r,,,CHAUNY
26,7303829880.0,Colgate Palmolive Industriel,Vermandois,60,av,,,COMPIÈGNE
27,7303829672.0,Virginie Sebbagh,Henri Adnot,8,av,,,COMPIÈGNE
28,7303829242.0,Sanofi-Aventis,Choisy,56,rte,,,COMPIÈGNE
29,7303829366.0,Mairie,Hôtel de Ville,,pl,,,CHAUNY
